padron;deuda;pagado;superficie;valuacion_yb;valucion_smt
281799;4976;0;3933;344116;640055
281805;2560;2560;2032;547687;1018698
281806;3907;0;1237;364664;678275
281812;2856;2856;1455;373434;694587
281814;3421;0;830;157884;293664
281815;2653;2653;978;258100;480066
281819;6155;3179;2522;842305;1566688
281840;3731;0;661;288025;535727
281841;1786;0;400;232511;432471
281842;2798;1048;323;137874;256447
281843;2027;2027;298;272379;506625
281844;2742;248;0;57222;106433
281845;4906;2101;835;400127;1154764
281847;540;0;0;1;74424
281862;3002;0;988;131417;244436
281869;540;0;0;9700;1729
281901;6254;1124;1772;777681;1446487
281904;3902;0;848;361522;672431
281905;6554;0;2742;884441;1645060
281906;5155;5155;2557;1045709;1945019
281922;3622;3622;578;345946;643461
281961;631;0;425;28500;188052
282063;540;0;0;2400;146323
282103;864;0;284;45800;90666
282126;5575;1260;2146;546593;1016664
282127;5259;0;3296;440570;819461
282128;2171;338;1046;254633;447646
282131;3469;0;903;178693;332369
282132;2267;0;903;91530;170247
282133;2927;0;857;140676;261658
282134;4444;0;958;162515;302279
282135;3517;0;1059;199102;370330
282138;5920;2148;2319;1397226;2598841
282157;2770;2770;531;232320;432116
282159;4939;0;0;330065;613921
282162;4885;0;640;312542;581329
282163;1551;1551;640;294468;547711
282164;4084;4084;0;557362;1036694
282165;4799;0;0;282084;524676
282166;3789;0;635;169328;411720
282167;2066;2066;0;184122;342467
282168;4711;2025;627;331735;617027
282169;4788;0;627;278896;518747
282171;2588;2588;663;250779;466450
282175;3613;0;0;239729;445897
282176;4341;0;1650;546513;1016514
282177;2650;2650;1237;254833;473989
282178;2645;2645;1237;251290;467399
282179;3779;860;1237;309894;576402
282190;2230;0;716;85222;158514
282191;5227;0;1170;429142;798204
282197;1971;709;5568;102800;1788371
282198;540;0;6091;900;2508020
282199;540;0;3382;1000;186321
282210;2689;2689;2625;227684;423493
282212;2732;2732;1121;347513;646374
282245;727;0;146828;16300;435375
282250;3726;0;682;286043;532040
282251;3352;3352;826;222505;413860
282256;5164;5164;1827;899483;1673038
282257;3208;3208;1714;157206;292404
282266;7891;0;5695;1334328;2481851
282267;4492;0;3496;221692;412347
282269;2349;2349;412;154826;287976
282274;5011;0;1218;289462;538399
282275;2363;0;329;104786;194902
282276;4153;0;341;468066;870603
282285;540;0;404;1;114894
282305;540;0;300;3400;90813
282329;540;0;0;3200;131544
282354;1187;0;0;80300;220260
282360;540;0;394;21200;141302
282364;6470;0;1584;953740;1773957
282365;3141;1164;477;53758;99990
282366;4751;2145;720;265585;493988
282372;28885;0;24499;8473101;15759968
282381;2764;2764;783;320028;595252
282382;2812;2812;1036;346748;644951
282383;2841;2841;1019;364438;677856
282385;4084;0;1211;439475;817424
282392;2843;2843;734;275197;511867
282393;2171;1955;1196;263668;490423
282428;540;0;595;8400;446513
282452;824;0;320;12400;139004
282453;4885;0;0;312670;581566
282604;540;0;69663;5300;26173576
282611;620;318;540;52031;96778
282617;5035;0;1021;361753;672861
282645;4885;0;960;313269;582681
282664;3802;3802;804;428851;2171974
282665;5803;0;774;629334;1170562
282667;5006;0;473;288607;536810
282668;4642;0;0;206104;383354
282669;4562;0;440;188848;351258
282670;4599;0;440;197388;367143
282671;4668;0;409;212417;395095
282672;4444;0;460;162266;301816
282678;540;0;348;8400;128366
282679;540;0;340;3600;310203
282685;540;0;0;8400;81927
282687;5707;5707;1529;681428;1267456
282689;3934;3934;2100;489311;910118
282731;3279;3279;0;538490;1001593
282732;5344;484;551;467856;870213
282747;19809;0;10223;306901;570835
282758;5113;0;1533;312992;582165
282759;6134;0;1533;86405;160713
282760;4840;0;1524;59032;109801
282773;2750;2750;557;357451;664859
282774;2842;2842;539;417937;777364
282786;540;0;299;8400;221865
282790;2444;0;397;115300;160279
282798;695;0;428;31303;113887
282799;548;0;0;47205;87802
282800;4749;0;0;230057;427906
282801;2709;0;0;54793;101916
282802;1352;234;440;66568;123817
282803;657;321;520;55791;103773
282804;4837;0;302;296940;552308
282805;2943;0;360;125138;232757
282806;941;0;0;63682;118448
282807;1562;1562;360;308436;573690
282808;3762;1413;360;191272;355767
282817;6939;2480;2601;1009614;1877882
282819;4771;4771;4457;1441384;2680975
282821;3846;0;438;178634;332260
282822;3710;3710;779;387647;721023
282823;4714;0;0;331605;616787
282824;3699;0;0;179378;333643
282825;3932;0;0;286507;532904
282826;3275;993;803;205959;383085
282827;515;0;0;4036;7508
282828;515;0;315;19503;36275
282831;3993;3993;1774;517240;962066
282832;4200;1560;1614;609687;1134019
282833;585;585;554;59623;471613
282834;5901;0;0;658085;1224038
282835;6799;0;1747;962297;1789874
282836;5398;1971;0;1157604;2153144
282837;6643;2439;1738;421137;783315
282839;824;0;374;43800;255314
282849;5190;0;982;498930;928011
282850;3769;1615;967;381269;709160
282852;3689;1348;611;270496;503124
282853;1349;1349;544;267866;498231
282854;2144;2144;567;230271;428305
282855;3907;0;756;364359;677707
282856;3488;1314;459;285173;530422
282870;4788;0;0;279395;519675
282871;5868;2360;533;123348;229427
282873;4241;0;977;115342;214536
282874;4101;0;2730;445208;828087
282877;3458;0;535;171826;319596
282878;2820;2820;564;352971;656526
282879;2740;2740;595;306795;570639
282880;4260;0;625;514388;956762
282881;3767;0;752;309997;576595
282882;2812;1056;561;347712;745062
282883;2589;2589;587;220302;409762
282884;2375;2375;615;405273;753808
282885;3036;682;662;79625;148102
282886;4026;774;896;110350;205252
282887;4003;2179;618;404872;753063
282888;2250;2250;650;311108;578661
282889;3517;0;672;198055;368384
282890;2792;2792;711;335229;623526
282891;2254;2254;900;458409;852642
282892;1698;1698;627;67531;125608
282893;2408;2408;822;431681;802928
282894;2494;2494;834;100002;186005
282895;3737;0;960;290106;539597
282896;3951;0;1910;381332;698597
282898;4105;558;1373;449742;836521
282900;4031;0;1490;417307;776192
282901;3920;0;707;191217;355664
282902;4692;1072;738;245575;456769
282903;4652;1554;766;309071;574873
282904;2243;2243;800;320846;596774
282907;3504;1320;654;292721;544462
282908;4671;0;661;238745;444067
282910;4103;1358;958;529763;985359
282911;4100;4100;963;429337;798568
282912;3779;0;962;309426;575533
282913;3737;0;962;291968;543061
282914;3119;1161;966;523605;973906
282915;2980;2980;959;443854;825568
282923;4359;0;4994;142406;264875
